duration,num_subscribers,influencer,dow,views,view_rate,has_tags,prod_focus,reach,media_type,post_type,influencer_type,FTC_Converted,In_Person_Converted,Giveaway_Converted,Reoccuring_Converted,ViewRate_Binary,id
136,13414,"ADULTING, with children",Sunday,98689,786.24,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,17
393,13414,"ADULTING, with children",Tuesday,2875,22.9,0,1,Mid Scale (10K-100K),100% Product Was Sent,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,18
350,13414,"ADULTING, with children",Wednesday,6458,51.45,0,1,Mid Scale (10K-100K),100% Organic,Unboxing,Toy Reviewer,0,0,0,0,1,19
360,13414,"ADULTING, with children",Thursday,14266,113.66,0,1,Mid Scale (10K-100K),Likely Organic,Challenge,Toy Reviewer,0,0,0,0,1,20
215,13414,"ADULTING, with children",Friday,182374,1452.95,0,1,Mid Scale (10K-100K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,21
448,13414,"ADULTING, with children",Saturday,11278,89.85,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,22
331,13414,"ADULTING, with children",Sunday,6317,50.33,0,1,Mid Scale (10K-100K),Likely Organic,Challenge,Toy Reviewer,0,0,0,0,1,23
268,13414,"ADULTING, with children",Tuesday,4781,38.09,0,1,Mid Scale (10K-100K),100% Product Was Sent,Unboxing,Toy Reviewer,0,0,0,0,1,24
100,13414,"ADULTING, with children",Tuesday,79595,634.12,0,1,Mid Scale (10K-100K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,25
254,13414,"ADULTING, with children",Thursday,5684,45.28,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,26
405,13414,"ADULTING, with children",Friday,2830,22.55,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,27
188,13414,"ADULTING, with children",Saturday,35833,285.48,0,1,Mid Scale (10K-100K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,28
441,13414,"ADULTING, with children",Sunday,12542,99.92,0,1,Mid Scale (10K-100K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,29
74,13414,"ADULTING, with children",Wednesday,9665,77,0,1,Mid Scale (10K-100K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,30
219,13414,"ADULTING, with children",Friday,94554,753.36,0,1,Mid Scale (10K-100K),Likely Organic,Retailer Visit,Toy Reviewer,0,0,0,0,1,31
1170,13414,"ADULTING, with children",Saturday,20112,160.24,0,1,Mid Scale (10K-100K),Likely Organic,Retailer Visit,Toy Reviewer,0,1,0,0,1,32
332,13414,"ADULTING, with children",Sunday,2280,18.17,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Toy Reviewer,0,1,0,0,1,33
189,13414,"ADULTING, with children",Monday,7301,58.17,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Toy Reviewer,0,1,0,0,1,34
200,13414,"ADULTING, with children",Friday,6989,55.68,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,1,0,0,1,35
599,13414,"ADULTING, with children",Saturday,2774,22.1,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,1,0,1,36
358,13414,"ADULTING, with children",Monday,14495,115.49,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,37
247,13414,"ADULTING, with children",Wednesday,111398,887.56,0,1,Mid Scale (10K-100K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,1,38
331,13414,"ADULTING, with children",Saturday,5963,47.51,0,1,Mid Scale (10K-100K),Likely Organic,Retailer Visit,Toy Reviewer,0,0,0,0,1,39
297,13414,"ADULTING, with children",Saturday,3747,29.85,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,40
241,13414,"ADULTING, with children",Sunday,1510,12.03,0,1,Mid Scale (10K-100K),Likely Organic,Hacks/Insider Content,Toy Reviewer,0,0,0,0,0,41
304,13414,"ADULTING, with children",Monday,13329,106.2,0,1,Mid Scale (10K-100K),Product Sent Not From Brand,Unboxing,Toy Reviewer,0,0,0,0,1,42
275,13414,"ADULTING, with children",Saturday,2809,22.38,0,1,Mid Scale (10K-100K),Product Sent Not From Brand,Challenge,Toy Reviewer,0,0,1,0,1,43
272,13414,"ADULTING, with children",Sunday,8307,66.19,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,44
100,13414,"ADULTING, with children",Friday,3515,28.01,0,1,Mid Scale (10K-100K),Likely Organic,Review/Product Shoutout,Toy Reviewer,0,0,0,0,1,45
218,13414,"ADULTING, with children",Friday,3126,24.91,0,1,Mid Scale (10K-100K),Likely Organic,Family Vlog,Family Vlog,0,0,0,0,1,46
308,13414,"ADULTING, with children",Sunday,4981,39.69,0,1,Mid Scale (10K-100K),Likely Product Was Sent,Unboxing,Family Vlog,1,0,1,0,1,47
372,13414,"ADULTING, with children",Tuesday,2379,18.95,0,1,Mid Scale (10K-100K),Likely Organic,Family Vlog,Family Vlog,0,0,0,0,1,48
325,13414,"ADULTING, with children",Thursday,965,7.69,0,1,Mid Scale (10K-100K),Likely Organic,Challenge,Family Vlog,0,0,0,0,0,49
137,13414,"ADULTING, with children",Saturday,2732,21.77,0,1,Mid Scale (10K-100K),Likely Paid,Challenge,Family Vlog,0,0,0,0,1,50
513,435529,Always Alyssa,Friday,102375,23.87,0,1,Large Scale (100K-500K),Likely Product Was Sent,Unboxing,Kid Toy,0,0,1,0,1,51
520,435529,Always Alyssa,Friday,397192,92.62,0,1,Large Scale (100K-500K),Likely Paid,Unboxing,Kid Toy,0,0,0,0,1,52
449,5697,AmazingKids Toys,Wednesday,13003,233.91,0,1,Micro (<10K),Likely Product Was Sent,Unboxing,Toy Reviewer,0,0,0,0,1,53
457,5697,AmazingKids Toys,Wednesday,25899,465.89,0,1,Micro (<10K),Likely Product Was Sent,Unboxing,Toy Reviewer,0,0,0,0,1,54
397,5697,AmazingKids Toys,Friday,7473,134.43,0,1,Micro (<10K),Likely Product Was Sent,Unboxing,Toy Reviewer,0,0,0,0,1,55
305,5697,AmazingKids Toys,Friday,5160,92.82,0,1,Micro (<10K),Likely Product Was Sent,Unboxing,Toy Reviewer,0,0,0,0,1,56
1564,44383,Amy Jo,Thursday,20706,47.33,0,1,Mid Scale (10K-100K),Likely Product Was Sent,Unboxing,Toy Reviewer,0,0,0,1,1,57
1268,44383,Amy Jo,Saturday,85827,196.2,0,1,Mid Scale (10K-100K),Likely Product Was Sent,Unboxing,Toy Reviewer,0,0,0,0,1,58
916,44383,Amy Jo,Monday,184857,422.58,0,1,Mid Scale (10K-100K),Likely Product Was Sent,Unboxing,Toy Reviewer,0,0,0,1,1,59
1600,44383,Amy Jo,Wednesday,13013,29.75,1,1,Mid Scale (10K-100K),Likely Product Was Sent,Unboxing,Toy Reviewer,0,0,0,1,1,60
784,44383,Amy Jo,Saturday,16172,36.97,0,1,Mid Scale (10K-100K),Likely Organic,Challenge,Toy Reviewer,0,0,0,1,1,61
1194,44383,Amy Jo,Saturday,26488,60.55,0,1,Mid Scale (10K-100K),Likely Paid,Unboxing,Toy Reviewer,0,0,0,1,1,62
1295,44383,Amy Jo,Wednesday,9943,22.73,0,1,Mid Scale (10K-100K),Likely Organic,Challenge,Toy Reviewer,0,0,0,1,1,63
1470,44383,Amy Jo,Saturday,3057,6.99,0,1,Mid Scale (10K-100K),100% Paid,Unboxing,Toy Reviewer,0,1,0,1,0,64
1089,63523,Anthony Bartoloni,Wednesday,1134,1.78,0,1,Mid Scale (10K-100K),Likely Product Was Sent,Unboxing,Kid Toy,0,0,0,0,0,65
0,0,Super S,Wednesday,0,0,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,66
604,5047,ARIANAKYLIE,Wednesday,125,2.48,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,67
892,5047,ARIANAKYLIE,Wednesday,454,9,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,68
263,5047,ARIANAKYLIE,Thursday,82,1.63,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,69
100,6641,Aubri's World,Saturday,9943,157.68,0,1,Micro (<10K),100% Paid,Review/Product Shoutout,Kid Toy,1,0,0,1,1,70
192,6641,Aubri's World,Wednesday,49535,785.52,0,1,Micro (<10K),Likely Product Was Sent,Review/Product Shoutout,Kid Toy,0,0,0,1,1,71
215,6641,Aubri's World,Tuesday,172779,2739.91,0,1,Micro (<10K),Likely Product Was Sent,Review/Product Shoutout,Kid Toy,0,0,0,1,1,72
217,6641,Aubri's World,Friday,48174,763.94,0,1,Micro (<10K),Likely Product Was Sent,Review/Product Shoutout,Kid Toy,0,0,0,1,1,73
337,6641,Aubri's World,Thursday,25612,406.15,0,1,Micro (<10K),Likely Product Was Sent,Storytelling,Kid Toy,0,0,0,1,1,74
651,6641,Aubri's World,Wednesday,5219,82.76,0,1,Micro (<10K),Likely Product Was Sent,Storytelling,Kid Toy,0,0,0,1,1,75
70,6641,Aubri's World,Friday,9129,144.77,0,1,Micro (<10K),Likely Product Was Sent,Review/Product Shoutout,Kid Toy,0,0,0,1,1,76
188,6641,Aubri's World,Sunday,415219,6584.51,0,1,Micro (<10K),Likely Product Was Sent,Review/Product Shoutout,Kid Toy,0,0,0,1,1,77
76,6641,Aubri's World,Tuesday,78950,1251.98,0,1,Micro (<10K),Likely Product Was Sent,Review/Product Shoutout,Kid Toy,0,0,0,1,1,78
343,6641,Aubri's World,Saturday,16042,254.39,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,1,1,79
72,6641,Aubri's World,Tuesday,21777,345.34,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,1,1,80
111,6641,Aubri's World,Wednesday,116520,1847.76,0,1,Micro (<10K),Likely Product Was Sent,Review/Product Shoutout,Kid Toy,0,0,0,1,1,81
135,6641,Aubri's World,Friday,2966,47.03,0,1,Micro (<10K),Likely Product Was Sent,Unboxing,Kid Toy,0,0,0,1,1,82
67,6641,Aubri's World,Saturday,33385,529.42,0,1,Micro (<10K),Likely Product Was Sent,Unboxing,Kid Toy,0,0,0,1,1,83
747,6641,Aubri's World,Tuesday,7437,117.94,0,1,Micro (<10K),Likely Product Was Sent,Unboxing,Kid Toy,0,0,0,1,1,84
180,6641,Aubri's World,Tuesday,129586,2054.96,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,1,1,85
71,6641,Aubri's World,Friday,300041,4758.02,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,1,1,86
702,6641,Aubri's World,Wednesday,1723,27.32,0,1,Micro (<10K),Likely Organic,Challenge,Kid Toy,0,0,0,1,1,87
222,6641,Aubri's World,Friday,162491,2576.77,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,1,1,88
816,6641,Aubri's World,Monday,1440,22.84,0,1,Micro (<10K),Likely Organic,Challenge,Kid Toy,0,0,0,1,1,89
121,6641,Aubri's World,Friday,2352,37.3,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,1,1,90
705,6641,Aubri's World,Thursday,17750,281.52,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,1,1,91
1387,42773,Ava Toy Show,Saturday,3490,8.67,0,1,Mid Scale (10K-100K),Likely Organic,Unboxing,Kid Toy,1,0,0,0,0,92
705,4068776,AWESMR Kids,Saturday,25911,0.64,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Toy Reviewer,0,0,0,0,0,93
399,1760273,B2cuteCupcakes,Saturday,26903,1.54,0,1,Mega (500K+),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,0,0,94
316,153938,Baby Alive Dolls and Toys [Baby Alive Channel],Sunday,2150,1.4,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,0,95
517,153938,Baby Alive Dolls and Toys [Baby Alive Channel],Saturday,4497,2.94,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,0,96
672,153938,Baby Alive Dolls and Toys [Baby Alive Channel],Wednesday,2957,1.93,0,1,Large Scale (100K-500K),Likely Product Was Sent,Unboxing,Storyteller,0,0,0,0,0,97
617,153938,Baby Alive Dolls and Toys [Baby Alive Channel],Saturday,1889,1.23,0,1,Large Scale (100K-500K),Likely Product Was Sent,Unboxing,Storyteller,0,0,0,0,0,98
477,153938,Baby Alive Dolls and Toys [Baby Alive Channel],Tuesday,5373,3.51,0,1,Large Scale (100K-500K),Likely Product Was Sent,Unboxing,Storyteller,0,0,0,0,0,99
560,153938,Baby Alive Dolls and Toys [Baby Alive Channel],Friday,3238,2.11,0,1,Large Scale (100K-500K),Likely Product Was Sent,Unboxing,Storyteller,0,0,0,0,0,100
261,153938,Baby Alive Dolls and Toys [Baby Alive Channel],Friday,2852,1.86,0,1,Large Scale (100K-500K),Likely Organic,Skit,Storyteller,0,0,0,0,0,101
653,500700,Baby Dolls & Little Girls,Friday,115417,23.55,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,102
684,500700,Baby Dolls & Little Girls,Monday,126394,25.79,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,103
927,500700,Baby Dolls & Little Girls,Monday,498286,101.65,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,104
628,500700,Baby Dolls & Little Girls,Friday,73486,14.99,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,0,105
669,500700,Baby Dolls & Little Girls,Wednesday,852429,173.9,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,106
897,500700,Baby Dolls & Little Girls,Monday,924843,188.68,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,107
2052,500700,Baby Dolls & Little Girls,Monday,168076,34.29,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,108
662,500700,Baby Dolls & Little Girls,Tuesday,262627,53.58,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,109
791,500700,Baby Dolls & Little Girls,Saturday,25014,5.1,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,0,110
635,500700,Baby Dolls & Little Girls,Saturday,314752,64.21,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,111
877,500700,Baby Dolls & Little Girls,Wednesday,128745,26.27,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,112
702,500700,Baby Dolls & Little Girls,Friday,40709,8.31,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,0,113
663,500700,Baby Dolls & Little Girls,Saturday,364472,74.36,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,114
603,500700,Baby Dolls & Little Girls,Thursday,123520,25.2,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,115
487,500700,Baby Dolls & Little Girls,Saturday,294193,60.02,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,116
602,500700,Baby Dolls & Little Girls,Saturday,377768,77.07,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,117
1030,500700,Baby Dolls & Little Girls,Wednesday,409758,83.6,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,118
643,500700,Baby Dolls & Little Girls,Friday,28511,5.82,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,0,119
531,500700,Baby Dolls & Little Girls,Tuesday,269976,55.08,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,120
873,500700,Baby Dolls & Little Girls,Monday,1149746,234.57,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,121
797,500700,Baby Dolls & Little Girls,Monday,716522,146.18,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,122
768,500700,Baby Dolls & Little Girls,Thursday,670581,136.81,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,123
537,500700,Baby Dolls & Little Girls,Tuesday,202566,41.33,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,124
601,500700,Baby Dolls & Little Girls,Friday,249485,50.9,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,125
1219,500700,Baby Dolls & Little Girls,Thursday,943421,192.48,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,126
1473,500700,Baby Dolls & Little Girls,Sunday,46204,9.43,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,0,127
708,500700,Baby Dolls & Little Girls,Monday,648382,132.28,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,128
625,500700,Baby Dolls & Little Girls,Tuesday,229479,46.82,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,129
606,500700,Baby Dolls & Little Girls,Thursday,413908,84.45,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,130
729,500700,Baby Dolls & Little Girls,Friday,335989,68.55,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,131
907,500700,Baby Dolls & Little Girls,Wednesday,3069752,626.3,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,132
630,500700,Baby Dolls & Little Girls,Wednesday,68709,14.02,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,0,133
920,500700,Baby Dolls & Little Girls,Saturday,242947,49.57,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,134
1356,500700,Baby Dolls & Little Girls,Saturday,136538,27.86,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,135
840,500700,Baby Dolls & Little Girls,Saturday,195530,39.89,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,136
613,500700,Baby Dolls & Little Girls,Monday,2982705,608.55,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,137
600,500700,Baby Dolls & Little Girls,Friday,141480,28.87,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,138
405,500700,Baby Dolls & Little Girls,Thursday,113963,23.25,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,139
2003,500700,Baby Dolls & Little Girls,Tuesday,339169,69.2,0,1,Large Scale (100K-500K),Likely Organic,Storytelling,Storyteller,0,0,0,0,1,140
474,9491,Bananas Mom,Wednesday,1467,15.64,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,141
797,9491,Bananas Mom,Sunday,950,10.13,0,1,Micro (<10K),Likely Paid,Unboxing,Kid Toy,0,0,0,0,0,142
662,9491,Bananas Mom,Saturday,2176,23.2,0,1,Micro (<10K),Likely Paid,Review/Product Shoutout,Kid Toy,0,0,0,0,1,143
970,9491,Bananas Mom,Sunday,574,6.12,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,0,0,144
635,9491,Bananas Mom,Monday,2073,22.1,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,1,145
507,9491,Bananas Mom,Saturday,743,7.92,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,146
720,9491,Bananas Mom,Wednesday,833,8.88,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,147
474,9491,Bananas Mom,Friday,818,8.72,0,1,Micro (<10K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,0,0,148
0,0,Becky Goddard Hill,Monday,0,0,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,149
0,0,Becky Goddard Hill,Saturday,0,0,0,1,Micro (<10K),Likely Organic,Unboxing,Kid Toy,0,0,0,0,0,150
0,0,Becky Goddard Hill,Monday,0,0,0,1,Mid Scale (10K-100K),Likely Product Was Sent,Unboxing,Toy Reviewer,0,0,0,0,0,151
0,0,Becky Goddard Hill,Saturday,0,0,0,1,Mid Scale (10K-100K),Likely Product Was Sent,Review/Product Shoutout,Toy Reviewer,0,0,0,0,0,152
0,0,Becky Goddard Hill,Saturday,0,0,0,1,Mid Scale (10K-100K),Likely Product Was Sent,Storytelling,Storyteller,0,0,0,0,0,153
496,1608,Bella & Hammy Dreams,Saturday,259,17.19,0,1,Micro (<10K),Likely Organic,Unboxing,Family Toy,0,0,0,0,1,154
525,1608,Bella & Hammy Dreams,Sunday,154,10.25,0,1,Micro (<10K),Likely Organic,Unboxing,Family Toy,0,0,0,0,0,155
332,1608,Bella & Hammy Dreams,Friday,133,8.85,0,1,Micro (<10K),Likely Organic,Unboxing,Family Toy,0,0,0,0,0,156
346,1608,Bella & Hammy Dreams,Thursday,224,14.9,0,1,Micro (<10K),Likely Organic,Unboxing,Family Toy,0,0,0,0,0,157
483,473034,C Kavala,Friday,1619,0.34,0,1,Large Scale (100K-500K),Likely Organic,Skit,Kid Toy,0,0,0,1,0,158
1029,473034,C Kavala,Saturday,3175,0.68,0,1,Large Scale (100K-500K),Likely Product Was Sent,Unboxing,Kid Toy,0,0,0,1,0,159
811,473034,C Kavala,Tuesday,6464,1.38,0,1,Large Scale (100K-500K),100% Product Was Sent,Unboxing,Kid Toy,1,0,0,1,0,160
619,473034,C Kavala,Sunday,9307,1.98,0,1,Large Scale (100K-500K),Likely Product Was Sent,Review/Product Shoutout,Kid Toy,0,0,0,1,0,161
286,473034,C Kavala,Friday,2508,0.53,0,1,Large Scale (100K-500K),Likely Organic,Review/Product Shoutout,Kid Toy,0,0,0,1,0,162
207,473034,C Kavala,Sunday,7045,1.5,0,1,Large Scale (100K-500K),Likely Product Was Sent,Unboxing,Kid Toy,0,0,0,1,0,163
903,473034,C Kavala,Monday,3334,0.71,0,1,Large Scale (100K-500K),Likely Product Was Sent,Unboxing,Kid Toy,0,0,0,1,0,164
432,473034,C Kavala,Wednesday,1371,0.29,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Kid Toy,0,0,0,1,0,165
482,473034,C Kavala,Wednesday,7900,1.68,0,1,Large Scale (100K-500K),Likely Product Was Sent,Unboxing,Kid Toy,1,0,0,1,0,166
800,473034,C Kavala,Saturday,2548,0.54,0,1,Large Scale (100K-500K),Likely Organic,Skit,Kid Toy,0,0,0,1,0,167
522,473034,C Kavala,Friday,2423,0.52,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Kid Toy,0,0,0,1,0,168
249,473034,C Kavala,Wednesday,2554,0.54,0,1,Large Scale (100K-500K),Likely Product Was Sent,Review/Product Shoutout,Kid Toy,0,0,0,1,0,169
1062,118172,Cam's Toy Box,Monday,51495,46.09,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,1,170
691,118172,Cam's Toy Box,Tuesday,6413,5.74,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,171
907,118172,Cam's Toy Box,Sunday,13265,11.87,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,172
798,118172,Cam's Toy Box,Sunday,10689,9.57,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,173
887,118172,Cam's Toy Box,Monday,2294,2.05,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,174
796,118172,Cam's Toy Box,Tuesday,6275,5.62,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,175
716,118172,Cam's Toy Box,Sunday,10087,9.03,0,1,Large Scale (100K-500K),Likely Organic,Unboxing,Toy Reviewer,0,0,0,0,0,176
754,118172,Cam's Toy Box,Tuesday,1929,1.73,0,1,Large Scale (100K-500K),Likely Product Was Sent,Unboxing,Toy Reviewer,0,0,0,0,0,177
